Fiscal Year,Claim Number,Date of Claim,Company Code,Event Date Reported,BI Reserve,BI Paid,BI Collection,PD Reserve,PD Paid,PD Collection,Expense Reserve,Expense Paid,Expense Collection,Incurred Sum,CSH O/C Status Code
1999,980603250,1998-06-04,0003,1998-06-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,996.23,0.00,996.23,C
1999,980603251,1998-06-05,0003,1998-06-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,295.59,0.00,295.59,C
1999,980603264,1998-06-04,0003,1998-06-08,0.00,0.00,0.00,0.00,2127.83,0.00,0.00,641.00,0.00,2768.83,C
1999,980603265,1998-06-05,0003,1998-06-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.82,0.00,161.82,C
1999,980603266,1998-06-08,0003,1998-06-09,0.00,0.00,0.00,0.00,1673.04,0.00,0.00,0.00,0.00,1673.04,C
1999,980603268,1998-06-02,0003,1998-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1208.77,0.00,1208.77,C
1999,980603269,1998-06-05,0003,1998-06-08,0.00,17500.00,0.00,0.00,1874.93,0.00,0.00,2627.22,0.00,22002.15,C
1999,980603271,1998-06-05,0003,1998-06-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,499.60,0.00,499.60,C
1999,980603272,1998-06-08,0003,1998-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603273,1998-06-08,0003,1998-06-10,0.00,0.00,0.00,0.00,1806.00,0.00,0.00,0.00,0.00,1806.00,C
1999,980603274,1998-06-08,0003,1998-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,244.96,0.00,244.96,C
1999,980603275,1998-06-09,0003,1998-06-10,0.00,0.00,0.00,0.00,705.67,0.00,0.00,0.00,0.00,705.67,C
1999,980603279,1998-06-09,0003,1998-06-10,0.00,0.00,0.00,0.00,248.24,0.00,0.00,447.09,0.00,695.33,C
1999,980603280,1998-06-03,0003,1998-06-04,0.00,1701.60,0.00,0.00,0.00,0.00,0.00,2316.09,0.00,4017.69,C
1999,980603281,1998-06-08,0003,1998-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1538.71,0.00,1538.71,C
1999,980603282,1998-06-09,0003,1998-06-11,0.00,0.00,0.00,0.00,975.00,0.00,0.00,83.60,0.00,1058.60,C
1999,980603283,1998-06-08,0003,1998-06-09,0.00,0.00,0.00,0.00,679.20,0.00,0.00,361.65,0.00,1040.85,C
1999,980603284,1998-06-08,0003,1998-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603285,1998-06-08,0003,1998-06-10,0.00,0.00,0.00,0.00,2009.04,0.00,0.00,71.00,0.00,2080.04,C
1999,980603286,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,3418.15,0.00,0.00,102.84,0.00,3520.99,C
1999,980603287,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603288,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603290,1998-06-02,0003,1998-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603311,1998-06-01,0003,1998-06-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242.97,0.00,242.97,C
1999,980603312,1998-06-02,0003,1998-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,869.35,0.00,869.35,C
1999,980603313,1998-06-03,0003,1998-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,752.49,0.00,752.49,C
1999,980603314,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,2500.75,0.00,0.00,590.03,0.00,3090.78,C
1999,980603326,1998-06-01,0003,1998-06-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,310.40,0.00,310.40,C
1999,980603327,1998-06-02,0003,1998-06-04,0.00,0.00,0.00,0.00,651.00,0.00,0.00,286.50,0.00,937.50,C
1999,980603328,1998-06-03,0003,1998-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,341.11,0.00,341.11,C
1999,980603329,1998-06-03,0003,1998-06-04,0.00,0.00,0.00,0.00,1919.34,0.00,0.00,742.08,0.00,2661.42,C
1999,980603330,1998-06-03,0003,1998-06-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,522.09,0.00,522.09,C
1999,980603331,1998-06-03,0003,1998-06-05,0.00,0.00,0.00,0.00,500.00,0.00,0.00,250.00,0.00,750.00,C
1999,980603332,1998-06-04,0003,1998-06-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,495.35,0.00,495.35,C
1999,980603333,1998-06-09,0003,1998-06-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,598.74,0.00,598.74,C
1999,980603334,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,682.93,0.00,0.00,0.00,0.00,682.93,C
1999,980603335,1998-06-10,0003,1998-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603336,1998-06-10,0003,1998-06-12,0.00,0.00,0.00,0.00,921.51,0.00,0.00,0.00,0.00,921.51,C
1999,980603337,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,180.00,0.00,0.00,0.00,0.00,180.00,C
1999,980603338,1998-06-10,0003,1998-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603339,1998-06-11,0003,1998-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
